file,bytes,sha256
yeast9.0.xml,11776690,0e120b0d4015048ef2edaf86ea039c533a72827ff00a34ca35d9fbe87a2781e5
Yeast9_curated.xml,11185345,d0bd57f6ec99b8fb1f0ffeb7006ba88a879a9185100236249d6e4bae333a82af
mmc3.xlsx,28226,f2cce831331c02b01d734e2867c94063e4d3522ddd018f28314c40830935c9ab
