pair_id,excel_row,gene_field,chemical,n_genes,strain_background,ko_status,ko_growth,rescue_status,rescue_growth,classification,correct,missing_genes,mapped_background,missing_background,mapped_rescue,missing_rescue
excel:50,50,YGL026C,tryptophan,1,X2180-1A,optimal,-1.6719473418456758e-18,optimal,0.1529205415451102,correct,True,,,,r_1912,
excel:51,51,YDR173C,ornithine,1,Sigma1278b,optimal,0.08583536756472465,optimal,6.6449367558909,type_I,False,,,,r_1987,
excel:52,52,YPL268W,ornithine,1,Other,optimal,0.08583536820220763,optimal,6.644936755890862,type_I,False,,,,r_1987,
excel:53,53,YOR184W,serine,1,Other,optimal,0.085630915078308,optimal,8.475724229156643,type_I,False,,,,r_1906,
excel:54,54,YGR208W,serine,1,Other,optimal,0.08563091460247042,optimal,8.475724229156624,type_I,False,,,,r_1906,
excel:55,55,YDR158W,homoserine,1,Other,optimal,1.2447363767080722e-18,optimal,5.8009480827008435,correct,True,,,,r_1896,
excel:56,56,YER052C,homoserine,1,Other,optimal,1.6096977249007988e-18,optimal,5.800948082700892,correct,True,,,,r_1896,
excel:57,57,YJR139C,homoserine,1,Other,optimal,0.0,optimal,5.8009480827007485,correct,True,,,,r_1896,
excel:58,58,YOR303W,arginine add uracil,1,Other,optimal,0.0863800153702087,optimal,7.728573273093183,type_I,False,,r_2090,,r_1879,
excel:59,59,YJR109C,arginine add uracil,1,Other,optimal,0.0863800153702087,optimal,7.728573273093183,type_I,False,,r_2090,,r_1879,
excel:60,60,YDR127W,aromatic amino acid add folinic acid,1,Other,optimal,-6.934882623346489e-32,optimal,7.841553491820012,correct,True,,r_1625,,r_1913+r_1903+r_1912,
excel:61,61,YGL148W,aromatic amino acid add folinic acid,1,Other,optimal,3.0540610639002076e-32,optimal,7.84155349182001,correct,True,,r_1625,,r_1913+r_1903+r_1912,
excel:62,62,YPR060C,"tyrosine, phenylalanine",1,Other,optimal,-3.1231039022766906e-63,optimal,7.7943014145028595,correct,True,,,,r_1913+r_1903,
excel:63,63,YHR208W,"valine,leucine",1,S288C,optimal,-1.099124985419635e-18,optimal,0.1698598753964929,correct,True,,,,r_1914+r_1899,
