pair_id,excel_row_original,gene_field_original,chemical_original,n_genes_original,strain_background_original,ko_status_original,ko_growth_original,rescue_status_original,rescue_growth_original,classification_original,correct_original,missing_genes_original,mapped_background_original,missing_background_original,mapped_rescue_original,missing_rescue_original,excel_row_curated,gene_field_curated,chemical_curated,n_genes_curated,strain_background_curated,ko_status_curated,ko_growth_curated,rescue_status_curated,rescue_growth_curated,classification_curated,correct_curated,missing_genes_curated,mapped_background_curated,missing_background_curated,mapped_rescue_curated,missing_rescue_curated,change
excel:24,24,YGL154C,lysine,1,Other,optimal,2.454230221550878e-17,optimal,0.0892787232111089,correct,True,,,,r_1900,,24,YGL154C,lysine,1,Other,optimal,4.363980166798789e-31,optimal,0.08920076881319387,correct,True,,,,r_1900,,unchanged
excel:25,25,YJR104C,lysine,1,Other,optimal,0.0859075189938797,optimal,0.0892786908076677,type_I,False,,,,r_1900,,25,YJR104C,lysine,1,Other,optimal,0.08583536804283678,optimal,0.0892007328867143,type_I,False,,,,r_1900,,unchanged
excel:26,26,YKR069W,methionine,1,Other,optimal,0.0859075189938797,optimal,0.0890084996316158,type_I,False,,,,r_1902,,26,YKR069W,methionine,1,Other,optimal,0.08583536820220804,optimal,0.08836905496773848,type_I,False,,,,r_1902,,unchanged
excel:27,27,YFR030W,methionine,1,Other,optimal,5.270562801166273e-16,optimal,0.0890084996316118,correct,True,,,,r_1902,,27,YFR030W,methionine,1,Other,optimal,-5.101339786549917e-31,optimal,0.08836902402561464,correct,True,,,,r_1902,,unchanged
excel:28,28,YGL125W,methionine,1,Other,optimal,0.0859075189938797,optimal,0.0890084996316158,type_I,False,,,,r_1902,,28,YGL125W,methionine,1,Other,optimal,6.5769226764120055e-31,optimal,0.08836905496773724,correct,True,,,,r_1902,,fixed
excel:29,29,YKL001C,methionine,1,Other,optimal,3.148494478122409e-15,optimal,0.089008499631621,correct,True,,,,r_1902,,29,YKL001C,methionine,1,Other,optimal,-2.511836229712775e-17,optimal,0.08836905496773823,correct,True,,,,r_1902,,unchanged
excel:30,30,YPR167C,methionine,1,S288C,optimal,-2.4061159586229148e-15,optimal,0.0890084996316112,correct,True,,,,r_1902,,30,YPR167C,methionine,1,S288C,optimal,-1.767488320928906e-15,optimal,0.0883690549677356,correct,True,,,,r_1902,,unchanged
excel:31,31,YLR303W,methionine,1,Other,optimal,0.0859075189938797,optimal,0.0884151555186187,type_I,False,,,,r_1902,,31,YLR303W,methionine,1,Other,optimal,9.647345259390648e-32,optimal,0.08836905496773785,correct,True,,,,r_1902,,fixed
excel:32,32,YNL277W,methionine,1,Other,optimal,1.387618832558423e-16,optimal,3.1851247286537166e-61,type_II,False,,,,r_1902,,32,YNL277W,methionine,1,Other,optimal,8.249072883690938e-20,optimal,0.0883690240256147,correct,True,,,,r_1902,,fixed
excel:33,33,YOL064C,methionine,1,Other,optimal,0.0849267973733884,optimal,0.088681776007041,type_I,False,,,,r_1902,,33,YOL064C,methionine,1,Other,optimal,0.08485633754002268,optimal,0.08810475701385118,type_I,False,,,,r_1902,,unchanged
excel:34,34,YJR010W,methionine,1,Other,optimal,0.0859075189938797,optimal,0.0890084996316158,type_I,False,,,,r_1902,,34,YJR010W,methionine,1,Other,optimal,-2.511836229712775e-17,optimal,0.08836905496773895,correct,True,,,,r_1902,,fixed
excel:35,35,YJR137C,methionine,1,Other,optimal,5.270562801166273e-16,optimal,0.0890084996316118,correct,True,,,,r_1902,,35,YJR137C,methionine,1,Other,optimal,-5.101339786549917e-31,optimal,0.08836902402561464,correct,True,,,,r_1902,,unchanged
excel:36,36,YER091C,methionine,1,Other,optimal,-1.5709923378634656e-16,optimal,0.0890085284675262,correct,True,,,,r_1902,,36,YER091C,methionine,1,Other,optimal,-6.237767762693844e-19,optimal,0.08836905429598557,correct,True,,,,r_1902,,unchanged
excel:37,37,YOR241W,methionine,1,Other,optimal,0.0859075189938797,optimal,0.0890084996316158,type_I,False,,,,r_1902,,37,YOR241W,methionine,1,Other,optimal,0.08583536820220804,optimal,0.08836905496773848,type_I,False,,,,r_1902,,unchanged
excel:38,38,YBR213W,methionine,1,Other,optimal,0.0859075189938797,optimal,0.0890084996316158,type_I,False,,,,r_1902,,38,YBR213W,methionine,1,Other,optimal,0.08583536820220777,optimal,0.0883690549677387,type_I,False,,,,r_1902,,unchanged
excel:39,39,YJR104C,methionine,1,Other,optimal,0.0859075189938797,optimal,0.0890084996316158,type_I,False,,,,r_1902,,39,YJR104C,methionine,1,Other,optimal,0.08583536804283678,optimal,0.08836902402561427,type_I,False,,,,r_1902,,unchanged
excel:40,40,YNL241C,methionine,1,Other,optimal,0.0858518668930601,optimal,0.0890084996316157,type_I,False,,,,r_1902,,40,YNL241C,methionine,1,Other,optimal,0.0857807861864546,optimal,0.08836905496773732,type_I,False,,,,r_1902,,unchanged
excel:41,41,YER023W,proline,1,Other,optimal,4.098323933628538e-17,optimal,7.514106827001645,correct,True,,,,r_1904,,41,YER023W,proline,1,Other,optimal,0.0,optimal,7.501318224602568,correct,True,,,,r_1904,,unchanged
excel:42,42,YOR184W,serine,1,Other,optimal,0.0857047797249279,optimal,8.484579037975273,type_I,False,,,,r_1906,,42,YOR184W,serine,1,Other,optimal,0.085630915078308,optimal,8.475724229156643,type_I,False,,,,r_1906,,unchanged
excel:43,43,YGR208W,serine,1,Other,optimal,0.0857047797249298,optimal,8.484579037975335,type_I,False,,,,r_1906,,43,YGR208W,serine,1,Other,optimal,0.08563091460247042,optimal,8.475724229156624,type_I,False,,,,r_1906,,unchanged
excel:44,44,YHR025W,threonine,1,Other,optimal,-2.7664667376219626e-17,optimal,9.90762144956528,correct,True,,,,r_1911,,44,YHR025W,threonine,1,Other,optimal,-1.497326397503999e-32,optimal,9.896856751165048,correct,True,,,,r_1911,,unchanged
excel:45,45,YCR053W,threonine,1,S288C,optimal,-8.068482103059312e-18,optimal,9.907621449565234,correct,True,,,,r_1911,,45,YCR053W,threonine,1,S288C,optimal,-1.2789177622828688e-18,optimal,9.89685675116492,correct,True,,,,r_1911,,unchanged
