model,reactions,metabolites,genes,objective,solver_status,wt_growth
Yeast9,4130,2805,1162,"[('r_2111', 1.0)]",optimal,0.08590751899388004
Yeast9_curated,4133,2805,1162,"[('r_2111', 1.0)]",optimal,0.0858353682022078
